ldef	mean_chipenrich_caught	prop_covered	n
dnase_fantom.1000.thurman_fantom	0.33518525577393	0.195302154967557	297
dnase_thurman_fantom.0.E	0.119780307514866	0.0272397250707193	297
dnase_thurman_fantom.0.E_fantom	0.207319619459312	0.0418760987720019	297
dnase_thurman_fantom.0.E_thurman	0.244529132097601	0.0511788154352594	297
dnase_thurman_fantom.0.E_thurman_fantom	0.27825326943781	0.0649959851021877	297
dnase_thurman_fantom.0.fantom	0.122878643949895	0.0157945220905254	297
dnase_thurman_fantom.0.nearest_tss_500000	0.37550646147695	0.0797245323198343	297
dnase_thurman_fantom.0.P2P	0.106436018364942	0.00521848512440643	297
dnase_thurman_fantom.0.P2P_E	0.1928077854395	0.0316557700916654	297
dnase_thurman_fantom.0.P2P_E_fantom	0.246496040658039	0.0461391293145786	297
dnase_thurman_fantom.0.P2P_E_thurman	0.274714809381205	0.0552454383214789	297
dnase_thurman_fantom.0.P2P_E_thurman_fantom	0.297583298077145	0.0689319636152163	297
dnase_thurman_fantom.0.P2P_fantom	0.181411217674839	0.020814570611258	297
dnase_thurman_fantom.0.P2P_thurman	0.220723657021838	0.0307606854950559	297
dnase_thurman_fantom.0.P2P_thurman_fantom	0.253533907119717	0.0454430637435522	297
dnase_thurman_fantom.0.thurman	0.17651362634503	0.0260154470830329	297
dnase_thurman_fantom.0.thurman_fantom	0.22403388136985	0.0408634553979427	297
dnase_thurman_fantom.1000.E	0.133447013099911	0.100728987978913	297
dnase_thurman_fantom.1000.E_fantom	0.33976246471839	0.223896334329633	297
dnase_thurman_fantom.1000.E_thurman	0.30520797437522	0.187873315060806	297
dnase_thurman_fantom.1000.E_thurman_fantom	0.383688493471259	0.304386581546681	297
dnase_thurman_fantom.1000.fantom	0.281332474645538	0.132079205582124	297
dnase_thurman_fantom.1000.nearest_tss_500000	0.460340316664457	0.302803122707752	297
dnase_thurman_fantom.1000.P2P	0.16320136812249	0.0349306948922671	297
dnase_thurman_fantom.1000.P2P_E	0.25606879594666	0.131713754408263	297
